reference,mapping,threshold,n_features,kappa,uns_rate,Method
muraro,segerstolpe,0.5,0-100,0.922335942203492,1.584427342689,scmap-cluster
muraro,segerstolpe,0.5,500-1000,0.937911079490841,9.00860117700317,scmap-cluster
muraro,segerstolpe,0.5,ALL,0.869142608443348,68.4472612041648,scmap-cluster
muraro,segerstolpe,0.5,100-200,0.92990449152552,2.5350837483024,scmap-cluster
muraro,segerstolpe,0.5,1000-2000,0.922582327582694,23.0421004979629,scmap-cluster
muraro,segerstolpe,0.5,200-500,0.937285738420782,4.16478044363966,scmap-cluster
muraro,segerstolpe,0.5,2000-5000,0.913315189429326,41.6478044363966,scmap-cluster
muraro,segerstolpe,0.6,0-100,0.922335942203492,1.584427342689,scmap-cluster
muraro,segerstolpe,0.6,500-1000,0.937911079490841,9.00860117700317,scmap-cluster
muraro,segerstolpe,0.6,ALL,0.869142608443348,68.4472612041648,scmap-cluster
muraro,segerstolpe,0.6,100-200,0.92990449152552,2.5350837483024,scmap-cluster
muraro,segerstolpe,0.6,1000-2000,0.922582327582694,23.0421004979629,scmap-cluster
muraro,segerstolpe,0.6,200-500,0.937285738420782,4.16478044363966,scmap-cluster
muraro,segerstolpe,0.6,2000-5000,0.913315189429326,41.6478044363966,scmap-cluster
muraro,segerstolpe,0.7,0-100,0.922335942203492,1.584427342689,scmap-cluster
muraro,segerstolpe,0.7,500-1000,0.937911079490841,9.00860117700317,scmap-cluster
muraro,segerstolpe,0.7,ALL,0.869142608443348,68.4472612041648,scmap-cluster
muraro,segerstolpe,0.7,100-200,0.92990449152552,2.5350837483024,scmap-cluster
muraro,segerstolpe,0.7,1000-2000,0.922582327582694,23.0421004979629,scmap-cluster
muraro,segerstolpe,0.7,200-500,0.937285738420782,4.16478044363966,scmap-cluster
muraro,segerstolpe,0.7,2000-5000,0.913315189429326,41.6478044363966,scmap-cluster
muraro,segerstolpe,0.8,0-100,0.922335942203492,1.584427342689,scmap-cluster
muraro,segerstolpe,0.8,500-1000,0.937911079490841,9.00860117700317,scmap-cluster
muraro,segerstolpe,0.8,ALL,0.869142608443348,68.4472612041648,scmap-cluster
muraro,segerstolpe,0.8,100-200,0.92990449152552,2.5350837483024,scmap-cluster
muraro,segerstolpe,0.8,1000-2000,0.922582327582694,23.0421004979629,scmap-cluster
muraro,segerstolpe,0.8,200-500,0.937285738420782,4.16478044363966,scmap-cluster
muraro,segerstolpe,0.8,2000-5000,0.913315189429326,41.6478044363966,scmap-cluster
muraro,segerstolpe,0.9,0-100,0.922335942203492,1.584427342689,scmap-cluster
muraro,segerstolpe,0.9,500-1000,0.937911079490841,9.00860117700317,scmap-cluster
muraro,segerstolpe,0.9,ALL,0.869142608443348,68.4472612041648,scmap-cluster
muraro,segerstolpe,0.9,100-200,0.92990449152552,2.5350837483024,scmap-cluster
muraro,segerstolpe,0.9,1000-2000,0.922582327582694,23.0421004979629,scmap-cluster
muraro,segerstolpe,0.9,200-500,0.937285738420782,4.16478044363966,scmap-cluster
muraro,segerstolpe,0.9,2000-5000,0.913315189429326,41.6478044363966,scmap-cluster
segerstolpe,muraro,0.5,0-100,0.903900142007426,1.83443085606773,scmap-cluster
segerstolpe,muraro,0.5,500-1000,0.898036701010679,16.9802445907808,scmap-cluster
segerstolpe,muraro,0.5,100-200,0.907173563248892,2.82220131702728,scmap-cluster
