reference,mapping,threshold,n_features,kappa,uns_rate,Method
muraro,segerstolpe,0.5,0-100,0.907783952323326,0.271616115889543,scmap
muraro,segerstolpe,0.5,ALL,0.79756792191053,2.94250792213671,scmap
muraro,segerstolpe,0.5,1000-2000,0.918675645737193,2.44454504300588,scmap
muraro,segerstolpe,0.5,100-200,0.90694759835092,0.407424173834314,scmap
muraro,segerstolpe,0.5,2000-5000,0.883298205921268,10.5930285196922,scmap
muraro,segerstolpe,0.5,200-500,0.912579583018713,0.6337709370756,scmap
muraro,segerstolpe,0.5,500-1000,0.919111309951858,1.17700316885469,scmap
muraro,segerstolpe,0.6,0-100,0.910913953837599,0.6337709370756,scmap
muraro,segerstolpe,0.6,ALL,0.839637249043802,18.1077410593028,scmap
muraro,segerstolpe,0.6,1000-2000,0.922870514061393,9.37075599818923,scmap
muraro,segerstolpe,0.6,100-200,0.913993788112535,0.995925758261657,scmap
muraro,segerstolpe,0.6,2000-5000,0.898258485778669,19.5110909913988,scmap
muraro,segerstolpe,0.6,200-500,0.926818369829208,1.9013128112268,scmap
muraro,segerstolpe,0.6,500-1000,0.93322657075162,2.8519692168402,scmap
muraro,segerstolpe,0.7,0-100,0.922335942203492,1.584427342689,scmap
muraro,segerstolpe,0.7,ALL,0.869142608443348,68.4472612041648,scmap
muraro,segerstolpe,0.7,1000-2000,0.922582327582694,23.0421004979629,scmap
muraro,segerstolpe,0.7,100-200,0.92990449152552,2.5350837483024,scmap
muraro,segerstolpe,0.7,2000-5000,0.913315189429326,41.6478044363966,scmap
muraro,segerstolpe,0.7,200-500,0.937285738420782,4.16478044363966,scmap
muraro,segerstolpe,0.7,500-1000,0.937911079490841,9.00860117700317,scmap
muraro,segerstolpe,0.8,0-100,0.939143823736056,3.89316432775011,scmap
muraro,segerstolpe,0.8,ALL,0.333333333333333,99.9094612947035,scmap
muraro,segerstolpe,0.8,1000-2000,0.91224787546063,57.40153915799,scmap
muraro,segerstolpe,0.8,100-200,0.940300010475487,6.79040289723857,scmap
muraro,segerstolpe,0.8,2000-5000,0.836057609170036,79.0402897238569,scmap
muraro,segerstolpe,0.8,200-500,0.93795521244392,18.6962426437302,scmap
muraro,segerstolpe,0.8,500-1000,0.926520931903935,41.3309189678588,scmap
muraro,segerstolpe,0.9,0-100,0.968801902338831,27.3426889995473,scmap
muraro,segerstolpe,0.9,ALL,0,100,scmap
muraro,segerstolpe,0.9,1000-2000,1,99.818922589407,scmap
muraro,segerstolpe,0.9,100-200,0.98485705347259,62.0190131281123,scmap
muraro,segerstolpe,0.9,2000-5000,0,100,scmap
muraro,segerstolpe,0.9,200-500,1,88.8637392485287,scmap
muraro,segerstolpe,0.9,500-1000,1,97.4649162516976,scmap
segerstolpe,muraro,0.5,ALL,0.584394046450096,0.376293508936971,scmap
segerstolpe,muraro,0.5,100-200,0.896181612455975,0.235183443085607,scmap
segerstolpe,muraro,0.5,1000-2000,0.886479139013696,0.0470366886171214,scmap
segerstolpe,muraro,0.5,2000-5000,0.858934096904889,0.141110065851364,scmap
segerstolpe,muraro,0.5,200-500,0.895216474536885,0.0940733772342427,scmap
segerstolpe,muraro,0.5,500-1000,0.89177473261843,0,scmap
segerstolpe,muraro,0.5,0-100,0.876618118461513,0.611476952022578,scmap
segerstolpe,muraro,0.6,ALL,0.582227165141344,4.65663217309501,scmap
segerstolpe,muraro,0.6,100-200,0.896573151937959,0.423330197554092,scmap
segerstolpe,muraro,0.6,1000-2000,0.88790480267003,0.329256820319849,scmap
segerstolpe,muraro,0.6,2000-5000,0.859597505135252,0.470366886171214,scmap
segerstolpe,muraro,0.6,200-500,0.89617004603781,0.282220131702728,scmap
segerstolpe,muraro,0.6,500-1000,0.892229315547806,0.141110065851364,scmap
segerstolpe,muraro,0.6,0-100,0.877522083186591,0.799623706491063,scmap
