reference,mapping,threshold,n_features,kappa,uns_rate,Method,group
pollen,baron-human,0.5,ALL,0,87.8865678608939,scmap-cluster,ALL scmap-cluster
pollen,baron-human,0.5,1000-2000,0,63.8814330727039,scmap-cluster,1000-2000 scmap-cluster
pollen,baron-human,0.5,100-200,0,53.5768467732524,scmap-cluster,100-200 scmap-cluster
pollen,baron-human,0.5,2000-5000,0,77.4186019372155,scmap-cluster,2000-5000 scmap-cluster
pollen,baron-human,0.5,200-500,0,51.6279612556891,scmap-cluster,200-500 scmap-cluster
pollen,baron-human,0.5,500-1000,0,62.4226864278212,scmap-cluster,500-1000 scmap-cluster
pollen,baron-human,0.5,0-100,0,49.7724355233983,scmap-cluster,0-100 scmap-cluster
pollen,baron-human,0.6,ALL,0,99.813280429455,scmap-cluster,ALL scmap-cluster
pollen,baron-human,0.6,1000-2000,0,95.9738592601237,scmap-cluster,1000-2000 scmap-cluster
pollen,baron-human,0.6,100-200,0,80.5928346364803,scmap-cluster,100-200 scmap-cluster
pollen,baron-human,0.6,2000-5000,0,99.5215311004785,scmap-cluster,2000-5000 scmap-cluster
pollen,baron-human,0.6,200-500,0,86.5912008402381,scmap-cluster,200-500 scmap-cluster
pollen,baron-human,0.6,500-1000,0,91.9827284397246,scmap-cluster,500-1000 scmap-cluster
pollen,baron-human,0.6,0-100,0,76.2165947018322,scmap-cluster,0-100 scmap-cluster
pollen,baron-human,0.7,ALL,0,100,scmap-cluster,ALL scmap-cluster
pollen,baron-human,0.7,1000-2000,0,99.9649900805228,scmap-cluster,1000-2000 scmap-cluster
pollen,baron-human,0.7,100-200,0,99.4631812346832,scmap-cluster,100-200 scmap-cluster
pollen,baron-human,0.7,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
pollen,baron-human,0.7,200-500,0,99.8833002684094,scmap-cluster,200-500 scmap-cluster
pollen,baron-human,0.7,500-1000,0,99.9416501342047,scmap-cluster,500-1000 scmap-cluster
pollen,baron-human,0.7,0-100,0,98.9030225230482,scmap-cluster,0-100 scmap-cluster
pollen,baron-human,0.8,ALL,0,100,scmap-cluster,ALL scmap-cluster
pollen,baron-human,0.8,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
pollen,baron-human,0.8,100-200,0,100,scmap-cluster,100-200 scmap-cluster
pollen,baron-human,0.8,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
pollen,baron-human,0.8,200-500,0,100,scmap-cluster,200-500 scmap-cluster
pollen,baron-human,0.8,500-1000,0,100,scmap-cluster,500-1000 scmap-cluster
pollen,baron-human,0.8,0-100,0,100,scmap-cluster,0-100 scmap-cluster
pollen,baron-human,0.9,ALL,0,100,scmap-cluster,ALL scmap-cluster
pollen,baron-human,0.9,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
pollen,baron-human,0.9,100-200,0,100,scmap-cluster,100-200 scmap-cluster
pollen,baron-human,0.9,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
pollen,baron-human,0.9,200-500,0,100,scmap-cluster,200-500 scmap-cluster
pollen,baron-human,0.9,500-1000,0,100,scmap-cluster,500-1000 scmap-cluster
pollen,baron-human,0.9,0-100,0,100,scmap-cluster,0-100 scmap-cluster
baron-human,pollen,0.5,ALL,0,100,scmap-cluster,ALL scmap-cluster
baron-human,pollen,0.5,1000-2000,0,62.4584717607973,scmap-cluster,1000-2000 scmap-cluster
baron-human,pollen,0.5,100-200,0,27.5747508305648,scmap-cluster,100-200 scmap-cluster
baron-human,pollen,0.5,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
baron-human,pollen,0.5,200-500,0,43.5215946843854,scmap-cluster,200-500 scmap-cluster
baron-human,pollen,0.5,0-100,0,13.6212624584718,scmap-cluster,0-100 scmap-cluster
baron-human,pollen,0.5,500-1000,0,55.4817275747508,scmap-cluster,500-1000 scmap-cluster
baron-human,pollen,0.6,ALL,0,100,scmap-cluster,ALL scmap-cluster
baron-human,pollen,0.6,1000-2000,0,99.3355481727575,scmap-cluster,1000-2000 scmap-cluster
baron-human,pollen,0.6,100-200,0,51.4950166112957,scmap-cluster,100-200 scmap-cluster
baron-human,pollen,0.6,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
baron-human,pollen,0.6,200-500,0,59.468438538206,scmap-cluster,200-500 scmap-cluster
baron-human,pollen,0.6,0-100,0,25.2491694352159,scmap-cluster,0-100 scmap-cluster
baron-human,pollen,0.6,500-1000,0,69.1029900332226,scmap-cluster,500-1000 scmap-cluster
baron-human,pollen,0.7,ALL,0,100,scmap-cluster,ALL scmap-cluster
baron-human,pollen,0.7,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
baron-human,pollen,0.7,100-200,0,77.0764119601329,scmap-cluster,100-200 scmap-cluster
baron-human,pollen,0.7,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
baron-human,pollen,0.7,200-500,0,92.0265780730897,scmap-cluster,200-500 scmap-cluster
baron-human,pollen,0.7,0-100,0,47.5083056478405,scmap-cluster,0-100 scmap-cluster
baron-human,pollen,0.7,500-1000,0,99.6677740863787,scmap-cluster,500-1000 scmap-cluster
baron-human,pollen,0.8,ALL,0,100,scmap-cluster,ALL scmap-cluster
baron-human,pollen,0.8,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
baron-human,pollen,0.8,100-200,0,96.0132890365448,scmap-cluster,100-200 scmap-cluster
baron-human,pollen,0.8,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
baron-human,pollen,0.8,200-500,0,100,scmap-cluster,200-500 scmap-cluster
baron-human,pollen,0.8,0-100,0,93.687707641196,scmap-cluster,0-100 scmap-cluster
baron-human,pollen,0.8,500-1000,0,100,scmap-cluster,500-1000 scmap-cluster
baron-human,pollen,0.9,ALL,0,100,scmap-cluster,ALL scmap-cluster
baron-human,pollen,0.9,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
baron-human,pollen,0.9,100-200,0,100,scmap-cluster,100-200 scmap-cluster
baron-human,pollen,0.9,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
baron-human,pollen,0.9,200-500,0,100,scmap-cluster,200-500 scmap-cluster
baron-human,pollen,0.9,0-100,0,100,scmap-cluster,0-100 scmap-cluster
baron-human,pollen,0.9,500-1000,0,100,scmap-cluster,500-1000 scmap-cluster
zeisel,klein,0.5,0-100,0,51.9322782480677,scmap-cluster,0-100 scmap-cluster
zeisel,klein,0.5,ALL,0,99.0798675009201,scmap-cluster,ALL scmap-cluster
zeisel,klein,0.5,1000-2000,0,93.006993006993,scmap-cluster,1000-2000 scmap-cluster
zeisel,klein,0.5,100-200,0,71.0342289289658,scmap-cluster,100-200 scmap-cluster
zeisel,klein,0.5,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
zeisel,klein,0.5,200-500,0,78.1376518218623,scmap-cluster,200-500 scmap-cluster
zeisel,klein,0.5,500-1000,0,90.7250644092749,scmap-cluster,500-1000 scmap-cluster
zeisel,klein,0.6,0-100,0,74.8987854251012,scmap-cluster,0-100 scmap-cluster
zeisel,klein,0.6,ALL,0,100,scmap-cluster,ALL scmap-cluster
zeisel,klein,0.6,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
zeisel,klein,0.6,100-200,0,88.9216047110784,scmap-cluster,100-200 scmap-cluster
zeisel,klein,0.6,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
zeisel,klein,0.6,200-500,0,87.1181450128819,scmap-cluster,200-500 scmap-cluster
zeisel,klein,0.6,500-1000,0,97.0187707029812,scmap-cluster,500-1000 scmap-cluster
zeisel,klein,0.7,0-100,0,94.6264262053736,scmap-cluster,0-100 scmap-cluster
zeisel,klein,0.7,ALL,0,100,scmap-cluster,ALL scmap-cluster
zeisel,klein,0.7,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
zeisel,klein,0.7,100-200,0,99.4479205005521,scmap-cluster,100-200 scmap-cluster
zeisel,klein,0.7,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
zeisel,klein,0.7,200-500,0,99.6687523003312,scmap-cluster,200-500 scmap-cluster
zeisel,klein,0.7,500-1000,0,100,scmap-cluster,500-1000 scmap-cluster
zeisel,klein,0.8,0-100,0,100,scmap-cluster,0-100 scmap-cluster
zeisel,klein,0.8,ALL,0,100,scmap-cluster,ALL scmap-cluster
zeisel,klein,0.8,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
zeisel,klein,0.8,100-200,0,100,scmap-cluster,100-200 scmap-cluster
zeisel,klein,0.8,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
zeisel,klein,0.8,200-500,0,100,scmap-cluster,200-500 scmap-cluster
zeisel,klein,0.8,500-1000,0,100,scmap-cluster,500-1000 scmap-cluster
zeisel,klein,0.9,0-100,0,100,scmap-cluster,0-100 scmap-cluster
zeisel,klein,0.9,ALL,0,100,scmap-cluster,ALL scmap-cluster
zeisel,klein,0.9,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
zeisel,klein,0.9,100-200,0,100,scmap-cluster,100-200 scmap-cluster
zeisel,klein,0.9,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
zeisel,klein,0.9,200-500,0,100,scmap-cluster,200-500 scmap-cluster
zeisel,klein,0.9,500-1000,0,100,scmap-cluster,500-1000 scmap-cluster
klein,zeisel,0.5,100-200,0,93.5108153078203,scmap-cluster,100-200 scmap-cluster
klein,zeisel,0.5,ALL,0,74.0099833610649,scmap-cluster,ALL scmap-cluster
klein,zeisel,0.5,1000-2000,0,90.1830282861897,scmap-cluster,1000-2000 scmap-cluster
klein,zeisel,0.5,200-500,0,73.0782029950083,scmap-cluster,200-500 scmap-cluster
klein,zeisel,0.5,2000-5000,0,84.891846921797,scmap-cluster,2000-5000 scmap-cluster
klein,zeisel,0.5,0-100,0,90.1830282861897,scmap-cluster,0-100 scmap-cluster
klein,zeisel,0.5,500-1000,0,87.5540765391015,scmap-cluster,500-1000 scmap-cluster
klein,zeisel,0.6,100-200,0,99.8668885191348,scmap-cluster,100-200 scmap-cluster
klein,zeisel,0.6,ALL,0,99.7337770382696,scmap-cluster,ALL scmap-cluster
klein,zeisel,0.6,1000-2000,0,94.9417637271215,scmap-cluster,1000-2000 scmap-cluster
klein,zeisel,0.6,200-500,0,98.9018302828619,scmap-cluster,200-500 scmap-cluster
klein,zeisel,0.6,2000-5000,0,92.4126455906822,scmap-cluster,2000-5000 scmap-cluster
klein,zeisel,0.6,0-100,0,99.8003327787022,scmap-cluster,0-100 scmap-cluster
klein,zeisel,0.6,500-1000,0,95.4409317803661,scmap-cluster,500-1000 scmap-cluster
klein,zeisel,0.7,100-200,0,100,scmap-cluster,100-200 scmap-cluster
klein,zeisel,0.7,ALL,0,100,scmap-cluster,ALL scmap-cluster
klein,zeisel,0.7,1000-2000,0,99.9334442595674,scmap-cluster,1000-2000 scmap-cluster
klein,zeisel,0.7,200-500,0,100,scmap-cluster,200-500 scmap-cluster
klein,zeisel,0.7,2000-5000,0,99.9667221297837,scmap-cluster,2000-5000 scmap-cluster
klein,zeisel,0.7,0-100,0,100,scmap-cluster,0-100 scmap-cluster
klein,zeisel,0.7,500-1000,0,99.9667221297837,scmap-cluster,500-1000 scmap-cluster
klein,zeisel,0.8,100-200,0,100,scmap-cluster,100-200 scmap-cluster
klein,zeisel,0.8,ALL,0,100,scmap-cluster,ALL scmap-cluster
klein,zeisel,0.8,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
klein,zeisel,0.8,200-500,0,100,scmap-cluster,200-500 scmap-cluster
klein,zeisel,0.8,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
klein,zeisel,0.8,0-100,0,100,scmap-cluster,0-100 scmap-cluster
klein,zeisel,0.8,500-1000,0,100,scmap-cluster,500-1000 scmap-cluster
klein,zeisel,0.9,100-200,0,100,scmap-cluster,100-200 scmap-cluster
klein,zeisel,0.9,ALL,0,100,scmap-cluster,ALL scmap-cluster
klein,zeisel,0.9,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
klein,zeisel,0.9,200-500,0,100,scmap-cluster,200-500 scmap-cluster
klein,zeisel,0.9,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
klein,zeisel,0.9,0-100,0,100,scmap-cluster,0-100 scmap-cluster
klein,zeisel,0.9,500-1000,0,100,scmap-cluster,500-1000 scmap-cluster
macosko,deng-rpkms,0.5,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
macosko,deng-rpkms,0.5,ALL,0,100,scmap-cluster,ALL scmap-cluster
macosko,deng-rpkms,0.5,100-200,0,72.3880597014925,scmap-cluster,100-200 scmap-cluster
macosko,deng-rpkms,0.5,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
macosko,deng-rpkms,0.5,200-500,0,99.6268656716418,scmap-cluster,200-500 scmap-cluster
macosko,deng-rpkms,0.5,500-1000,0,100,scmap-cluster,500-1000 scmap-cluster
macosko,deng-rpkms,0.5,0-100,0,30.2238805970149,scmap-cluster,0-100 scmap-cluster
macosko,deng-rpkms,0.6,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
macosko,deng-rpkms,0.6,ALL,0,100,scmap-cluster,ALL scmap-cluster
macosko,deng-rpkms,0.6,100-200,0,100,scmap-cluster,100-200 scmap-cluster
macosko,deng-rpkms,0.6,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
macosko,deng-rpkms,0.6,200-500,0,100,scmap-cluster,200-500 scmap-cluster
macosko,deng-rpkms,0.6,500-1000,0,100,scmap-cluster,500-1000 scmap-cluster
macosko,deng-rpkms,0.6,0-100,0,60.0746268656716,scmap-cluster,0-100 scmap-cluster
macosko,deng-rpkms,0.7,1000-2000,0,100,scmap-cluster,1000-2000 scmap-cluster
macosko,deng-rpkms,0.7,ALL,0,100,scmap-cluster,ALL scmap-cluster
macosko,deng-rpkms,0.7,100-200,0,100,scmap-cluster,100-200 scmap-cluster
macosko,deng-rpkms,0.7,2000-5000,0,100,scmap-cluster,2000-5000 scmap-cluster
