reference,mapping,threshold,n_features,n_nn,accuracy
baron-human,baron-human,0.5,100,10,56.3543003851091
baron-human,baron-human,0.5,100,10,55.4440424787023
baron-human,baron-human,0.5,100,10,55.4090325592251
baron-human,baron-human,0.5,100,10,55.759131753997
baron-human,baron-human,0.5,100,10,56.0975609756098
baron-human,baron-human,0.5,100,10,55.4323725055432
baron-human,baron-human,0.5,100,10,55.759131753997
baron-human,baron-human,0.5,100,10,55.9108414050648
baron-human,baron-human,0.5,100,10,56.330960438791
baron-human,baron-human,0.5,100,10,56.4126502509044
baron-human,baron-human,0.5,100,10,55.759131753997
baron-human,baron-human,0.5,100,10,55.3040028007936
baron-human,baron-human,0.5,100,10,56.144240868246
baron-human,baron-human,0.5,100,10,56.4476601703816
baron-human,baron-human,0.5,100,10,56.4126502509044
baron-human,baron-human,0.5,100,10,55.6541019955654
baron-human,baron-human,0.5,100,10,56.1325708950869
baron-human,baron-human,0.5,100,10,56.4126502509044
baron-human,baron-human,0.5,100,10,56.1909207608822
baron-human,baron-human,0.5,100,10,56.1909207608822
baron-human,baron-human,0.5,100,10,55.5374022639748
baron-human,baron-human,0.5,100,10,55.9225113782238
baron-human,baron-human,0.5,100,10,55.9808612440191
baron-human,baron-human,0.5,100,10,56.704399579881
baron-human,baron-human,0.5,100,10,56.6693896604038
baron-human,baron-human,0.5,100,10,57.1711985062434
baron-human,baron-human,0.5,100,10,56.1909207608822
baron-human,baron-human,0.5,100,10,56.9144590967441
baron-human,baron-human,0.5,100,10,56.5060100361769
baron-human,baron-human,0.5,100,10,56.1675808145641
baron-human,baron-human,0.5,100,10,55.7474617808379
baron-human,baron-human,0.5,100,10,56.0392111098144
baron-human,baron-human,0.5,100,10,55.7941416734742
baron-human,baron-human,0.5,100,10,56.7394094993582
baron-human,baron-human,0.5,100,10,55.6074221029292
baron-human,baron-human,0.5,100,10,56.0975609756098
baron-human,baron-human,0.5,100,10,56.3426304119501
baron-human,baron-human,0.5,100,10,56.1559108414051
baron-human,baron-human,0.5,100,10,56.2609405998366
baron-human,baron-human,0.5,100,10,55.7007818882017
baron-human,baron-human,0.5,100,10,55.770801727156
baron-human,baron-human,0.5,100,10,56.3076204924729
baron-human,baron-human,0.5,100,10,55.8641615124285
baron-human,baron-human,0.5,100,10,56.1559108414051
baron-human,baron-human,0.5,100,10,55.7241218345198
