Method	Time	n_cells_ref	n_cell_map	n_features
scmap-cluster	7.0	1e2	1e4	1e3
scmap-cell	0.1	1e2	1e4	1e3
SVM	4.1	1e2	1e4	1e3
RF	2.3	1e2	1e4	1e3
scmap-cluster	8.0	1e3	1e4	1e3
scmap-cell	1.3	1e3	1e4	1e3
SVM	7.244	1e3	1e4	1e3
RF	9.329	1e3	1e4	1e3
scmap-cluster	10.813	1e4	1e4	1e3
scmap-cell	16.4	1e4	1e4	1e3
SVM	72.84	1e4	1e4	1e3
RF	176.272	1e4	1e4	1e3
scmap-cluster	16.629	2e4	1e4	1e3
scmap-cell	46.4	2e4	1e4	1e3
SVM	317.863	2e4	1e4	1e3
RF	611.136	2e4	1e4	1e3
scmap-cluster	20.029	3e4	1e4	1e3
scmap-cell	84	3e4	1e4	1e3
SVM	951.453	3e4	1e4	1e3
RF	1206.439	3e4	1e4	1e3
scmap-cluster	22.379	4e4	1e4	1e3
scmap-cell	117.6	4e4	1e4	1e3
SVM	2114.745	4e4	1e4	1e3
RF	1792.780	4e4	1e4	1e3
scmap-cluster	43.914	89616	1e4	1e3
