,baron-human,segerstolpe,muraro,xin,pollen,li
human1_lib1.final_cell_0001,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0002,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0003,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0004,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0005,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0006,acinar,unassigned,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0007,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0008,acinar,unassigned,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0009,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0010,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0011,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0012,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0013,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0014,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0015,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0016,activated_stellate,PSC,mesenchymal,unassigned,BJ,unassigned
human1_lib1.final_cell_0017,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0018,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0019,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0020,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0021,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0022,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0023,ductal,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0024,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0025,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0026,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0027,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0028,acinar,acinar,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0029,acinar,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0030,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0031,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0032,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0033,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0034,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0035,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0036,acinar,acinar,acinar,unassigned,unassigned,unassigned
human1_lib1.final_cell_0037,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0038,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0039,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0040,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0041,activated_stellate,PSC,mesenchymal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0042,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0043,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0044,activated_stellate,PSC,mesenchymal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0045,activated_stellate,PSC,mesenchymal,unassigned,unassigned,unassigned
