,baron-human,segerstolpe,muraro,xin,pollen,li
human1_lib1.final_cell_0001,0.92,0.74,0.75,0.62,0.66,0.47
human1_lib1.final_cell_0002,0.92,0.8,0.8,0.63,0.68,0.5
human1_lib1.final_cell_0003,0.9,0.67,0.68,NA,0.53,0.42
human1_lib1.final_cell_0004,0.9,0.72,0.74,0.55,0.6,0.47
human1_lib1.final_cell_0005,0.9,0.74,0.74,0.54,0.58,0.43
human1_lib1.final_cell_0006,0.87,0.7,0.71,0.55,0.37,0.42
human1_lib1.final_cell_0007,0.9,0.83,0.75,0.7,0.68,NA
human1_lib1.final_cell_0008,0.92,0.69,0.71,0.26,0.58,0.45
human1_lib1.final_cell_0009,0.9,0.77,0.77,0.62,NA,0.5
human1_lib1.final_cell_0010,0.93,0.75,0.76,0.56,0.6,0.45
human1_lib1.final_cell_0011,0.92,0.76,0.78,0.58,NA,0.5
human1_lib1.final_cell_0012,0.91,0.69,0.68,0.48,0.54,0.43
human1_lib1.final_cell_0013,0.85,0.78,0.76,0.61,0.59,0.43
human1_lib1.final_cell_0014,0.86,0.79,0.75,0.64,0.61,0.24
human1_lib1.final_cell_0015,0.81,0.75,0.69,0.68,0.67,0.25
human1_lib1.final_cell_0016,0.86,0.81,0.79,0.67,0.7,0.62
human1_lib1.final_cell_0017,0.85,0.81,0.78,0.65,0.34,0.24
human1_lib1.final_cell_0018,0.9,0.74,0.73,0.53,0.6,0.49
human1_lib1.final_cell_0019,0.87,0.82,0.78,0.62,NA,NA
human1_lib1.final_cell_0020,0.85,0.77,0.71,0.61,0.37,NA
human1_lib1.final_cell_0021,0.89,0.83,0.76,0.67,0.36,0.48
human1_lib1.final_cell_0022,0.81,0.79,0.7,0.67,0.38,0.45
human1_lib1.final_cell_0023,0.71,NA,0.62,0.64,NA,0.53
human1_lib1.final_cell_0024,0.89,0.84,0.78,0.69,0.38,0.25
human1_lib1.final_cell_0025,0.88,0.79,0.77,0.65,0.63,0.21
human1_lib1.final_cell_0026,0.86,0.84,0.8,0.7,0.64,0.28
human1_lib1.final_cell_0027,0.86,0.78,0.73,0.62,0.38,0.4
human1_lib1.final_cell_0028,0.8,0.76,0.7,0.55,0.62,0.48
human1_lib1.final_cell_0029,0.87,0.65,0.66,0.43,NA,0.38
human1_lib1.final_cell_0030,0.87,0.82,0.76,0.65,0.6,0.24
human1_lib1.final_cell_0031,0.81,0.74,0.7,0.57,NA,0.44
human1_lib1.final_cell_0032,0.84,0.78,0.74,0.6,0.34,0.26
human1_lib1.final_cell_0033,0.87,0.8,0.75,0.62,NA,0.44
human1_lib1.final_cell_0034,0.84,0.77,0.72,0.6,0.57,0.35
