original_labs,scmap_cluster,scmap_cell
acinar,acinar,acinar
acinar,acinar,acinar
acinar,unassigned,acinar
acinar,acinar,acinar
acinar,acinar,acinar
acinar,acinar,acinar
beta,beta,beta
acinar,acinar,acinar
acinar,acinar,acinar
acinar,acinar,acinar
acinar,acinar,acinar
acinar,unassigned,acinar
delta,delta,delta
delta,delta,delta
beta,unassigned,beta
activated_stellate,mesenchymal,mesenchymal
beta,beta,beta
acinar,acinar,acinar
ductal,ductal,ductal
beta,beta,beta
beta,beta,beta
alpha,unassigned,alpha
ductal,unassigned,ductal
beta,beta,beta
delta,delta,delta
alpha,alpha,alpha
beta,beta,beta
acinar,unassigned,acinar
acinar,unassigned,acinar
beta,beta,beta
delta,delta,delta
delta,delta,delta
delta,delta,delta
delta,delta,delta
beta,unassigned,beta
acinar,acinar,acinar
beta,beta,beta
beta,beta,beta
beta,unassigned,beta
delta,delta,delta
activated_stellate,mesenchymal,PSC
beta,beta,beta
delta,delta,delta
activated_stellate,mesenchymal,mesenchymal
activated_stellate,mesenchymal,mesenchymal
activated_stellate,mesenchymal,mesenchymal
acinar,acinar,acinar
activated_stellate,mesenchymal,mesenchymal
delta,unassigned,delta
beta,beta,beta
delta,delta,delta
beta,beta,beta
acinar,acinar,acinar
beta,beta,beta
beta,beta,beta
activated_stellate,mesenchymal,mesenchymal
beta,beta,beta
beta,beta,beta
beta,unassigned,beta
beta,unassigned,beta
ductal,ductal,ductal
alpha,alpha,alpha
beta,unassigned,beta
ductal,ductal,ductal
ductal,unassigned,beta
acinar,acinar,acinar
alpha,alpha,alpha
beta,beta,beta
delta,delta,delta
alpha,alpha,alpha
beta,unassigned,beta
beta,unassigned,beta
beta,unassigned,beta
delta,delta,delta
beta,beta,beta
beta,beta,beta
delta,delta,delta
beta,beta,beta
beta,beta,beta
beta,unassigned,beta
beta,beta,beta
beta,beta,beta
beta,beta,beta
acinar,acinar,acinar
activated_stellate,mesenchymal,mesenchymal
delta,delta,delta
delta,delta,delta
beta,beta,beta
beta,unassigned,beta
beta,beta,beta
beta,beta,beta
beta,beta,beta
beta,beta,beta
beta,unassigned,beta
beta,unassigned,beta
beta,unassigned,beta
beta,beta,beta
delta,unassigned,delta
delta,delta,delta
beta,unassigned,beta
delta,delta,delta
alpha,alpha,alpha
alpha,alpha,alpha
delta,delta,delta
beta,unassigned,beta
beta,beta,beta
beta,unassigned,beta
beta,beta,beta
acinar,acinar,acinar
delta,delta,delta
beta,beta,beta
beta,unassigned,beta
delta,delta,delta
beta,unassigned,beta
beta,unassigned,beta
beta,beta,beta
delta,delta,delta
beta,beta,beta
delta,delta,delta
beta,beta,beta
beta,unassigned,beta
beta,beta,beta
epsilon,delta,delta
beta,beta,beta
beta,beta,beta
beta,unassigned,beta
delta,delta,alpha
beta,unassigned,beta
delta,delta,delta
beta,beta,beta
alpha,alpha,alpha
alpha,unassigned,alpha
beta,beta,beta
acinar,unassigned,acinar
alpha,alpha,alpha
beta,beta,beta
beta,beta,beta
alpha,alpha,alpha
beta,beta,beta
delta,delta,unassigned
beta,unassigned,beta
beta,beta,beta
beta,unassigned,beta
beta,unassigned,beta
beta,beta,beta
delta,delta,delta
beta,beta,beta
ductal,ductal,ductal
ductal,ductal,ductal
beta,unassigned,beta
beta,unassigned,beta
beta,beta,beta
beta,beta,beta
delta,delta,delta
beta,beta,beta
activated_stellate,mesenchymal,mesenchymal
beta,unassigned,beta
beta,unassigned,beta
alpha,alpha,alpha
beta,beta,beta
alpha,alpha,alpha
beta,beta,beta
gamma,gamma,gamma
beta,unassigned,beta
