reference,mapping,downsample_frac,n_features,kappa,uns_rate,Method
muraro,segerstolpe,20%,0-100,0.91846112162009,1.81077410593029,scmap
muraro,segerstolpe,20%,0-100,0.918478090588328,1.2675418741512,scmap
muraro,segerstolpe,20%,0-100,0.922262180813397,1.76550475328203,scmap
muraro,segerstolpe,20%,0-100,0.916066143523662,1.81077410593029,scmap
muraro,segerstolpe,20%,0-100,0.921599119070001,1.72023540063377,scmap
muraro,segerstolpe,20%,0-100,0.91922829418028,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.91525638063403,1.67496604798551,scmap
muraro,segerstolpe,20%,0-100,0.922326486191449,1.72023540063377,scmap
muraro,segerstolpe,20%,0-100,0.923424068966858,1.72023540063377,scmap
muraro,segerstolpe,20%,0-100,0.918533025151719,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.918584333835205,1.72023540063377,scmap
muraro,segerstolpe,20%,0-100,0.917767339537151,1.85604345857854,scmap
muraro,segerstolpe,20%,0-100,0.913581406908759,1.40334993209597,scmap
muraro,segerstolpe,20%,0-100,0.915138368664329,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.922415938502378,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.917101443674074,1.49388863739249,scmap
muraro,segerstolpe,20%,0-100,0.916804367053559,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.92301626501412,1.49388863739249,scmap
muraro,segerstolpe,20%,0-100,0.926120079298442,2.08239022181983,scmap
muraro,segerstolpe,20%,0-100,0.915661691994681,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.918902049172298,1.44861928474423,scmap
muraro,segerstolpe,20%,0-100,0.919919042865424,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.92275679486306,1.76550475328203,scmap
muraro,segerstolpe,20%,0-100,0.920932906591131,1.76550475328203,scmap
muraro,segerstolpe,20%,0-100,0.918939227579949,1.85604345857854,scmap
muraro,segerstolpe,20%,0-100,0.91655409901013,1.35808057944771,scmap
muraro,segerstolpe,20%,0-100,0.915602669006695,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.915150208777609,1.67496604798551,scmap
muraro,segerstolpe,20%,0-100,0.919415374469714,1.584427342689,scmap
muraro,segerstolpe,20%,0-100,0.919112490608142,1.76550475328203,scmap
muraro,segerstolpe,20%,0-100,0.921126035476562,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.918687870940749,1.85604345857854,scmap
muraro,segerstolpe,20%,0-100,0.921266638578612,1.584427342689,scmap
muraro,segerstolpe,20%,0-100,0.916425252801312,1.40334993209597,scmap
muraro,segerstolpe,20%,0-100,0.915707178275806,1.44861928474423,scmap
muraro,segerstolpe,20%,0-100,0.915610128116747,1.67496604798551,scmap
muraro,segerstolpe,20%,0-100,0.913729348314881,1.67496604798551,scmap
muraro,segerstolpe,20%,0-100,0.915652502283221,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.917326456912482,1.72023540063377,scmap
muraro,segerstolpe,20%,0-100,0.921887500094307,1.9013128112268,scmap
muraro,segerstolpe,20%,0-100,0.915075671059351,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.914651764830724,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.918838954095672,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.916327996775547,1.49388863739249,scmap
muraro,segerstolpe,20%,0-100,0.920203049658369,1.44861928474423,scmap
muraro,segerstolpe,20%,0-100,0.920543371529342,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.916705386460596,1.67496604798551,scmap
muraro,segerstolpe,20%,0-100,0.921154284123515,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.915234106602195,1.49388863739249,scmap
muraro,segerstolpe,20%,0-100,0.915454348555717,1.49388863739249,scmap
muraro,segerstolpe,20%,0-100,0.918639902907287,1.67496604798551,scmap
muraro,segerstolpe,20%,0-100,0.922245357207973,1.67496604798551,scmap
muraro,segerstolpe,20%,0-100,0.913414590398715,1.35808057944771,scmap
muraro,segerstolpe,20%,0-100,0.92171280049174,1.584427342689,scmap
muraro,segerstolpe,20%,0-100,0.914571887676509,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.919309685602043,1.584427342689,scmap
muraro,segerstolpe,20%,0-100,0.91574943976309,1.49388863739249,scmap
muraro,segerstolpe,20%,0-100,0.915774191110248,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.919830176975836,1.76550475328203,scmap
muraro,segerstolpe,20%,0-100,0.914794628004166,2.2181982797646,scmap
muraro,segerstolpe,20%,0-100,0.923872487323244,1.99185151652331,scmap
muraro,segerstolpe,20%,0-100,0.917579922871683,1.44861928474423,scmap
muraro,segerstolpe,20%,0-100,0.915810492433519,1.40334993209597,scmap
muraro,segerstolpe,20%,0-100,0.917010099580805,1.49388863739249,scmap
muraro,segerstolpe,20%,0-100,0.916168126905708,1.67496604798551,scmap
muraro,segerstolpe,20%,0-100,0.921106995811781,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.922836363696976,1.76550475328203,scmap
muraro,segerstolpe,20%,0-100,0.913666216942824,1.2675418741512,scmap
muraro,segerstolpe,20%,0-100,0.916846096988784,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.921084753592161,1.76550475328203,scmap
muraro,segerstolpe,20%,0-100,0.916430661522695,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.922340821865636,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.916366635188408,1.67496604798551,scmap
muraro,segerstolpe,20%,0-100,0.915666088964954,1.67496604798551,scmap
muraro,segerstolpe,20%,0-100,0.91341275209475,1.40334993209597,scmap
muraro,segerstolpe,20%,0-100,0.916070165822639,1.85604345857854,scmap
muraro,segerstolpe,20%,0-100,0.915596900429201,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.919492492891128,1.94658216387506,scmap
muraro,segerstolpe,20%,0-100,0.924082663436968,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.920552737304367,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.913912245838206,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.921210753664042,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.916798798066262,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.919857213317098,1.72023540063377,scmap
muraro,segerstolpe,20%,0-100,0.915142266580704,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.916229853918723,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.916835376899585,1.62969669533726,scmap
muraro,segerstolpe,20%,0-100,0.92020641427538,1.44861928474423,scmap
muraro,segerstolpe,20%,0-100,0.912120456246173,2.5350837483024,scmap
muraro,segerstolpe,20%,0-100,0.916232230606927,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.916848691458623,1.584427342689,scmap
muraro,segerstolpe,20%,0-100,0.921779472056391,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.915424596699859,1.31281122679946,scmap
muraro,segerstolpe,20%,0-100,0.919061967224522,1.76550475328203,scmap
muraro,segerstolpe,20%,0-100,0.922246410724465,1.584427342689,scmap
muraro,segerstolpe,20%,0-100,0.916998409458047,1.44861928474423,scmap
muraro,segerstolpe,20%,0-100,0.916333685998953,1.72023540063377,scmap
muraro,segerstolpe,20%,0-100,0.919426559745334,1.49388863739249,scmap
muraro,segerstolpe,20%,0-100,0.919352517905982,1.53915799004074,scmap
muraro,segerstolpe,20%,0-100,0.921882464701025,1.49388863739249,scmap
muraro,segerstolpe,20%,ALL,0.831742428337207,71.4350384789497,scmap
muraro,segerstolpe,20%,ALL,0.719368712621314,67.0891806247171,scmap
muraro,segerstolpe,20%,ALL,0.854343991213074,69.3073789044817,scmap
muraro,segerstolpe,20%,ALL,0.860506968652727,70.3938433680398,scmap
muraro,segerstolpe,20%,ALL,0.881889838167727,70.2127659574468,scmap
muraro,segerstolpe,20%,ALL,0.868827376300744,67.6776822091444,scmap
muraro,segerstolpe,20%,ALL,0.851641366933373,74.7397012222725,scmap
muraro,segerstolpe,20%,ALL,0.794323041110781,70.7107288365776,scmap
muraro,segerstolpe,20%,ALL,0.845252529666,71.7066545948393,scmap
muraro,segerstolpe,20%,ALL,0.866255521293441,67.949298325034,scmap
muraro,segerstolpe,20%,ALL,0.759290506875706,75.1471253961068,scmap
muraro,segerstolpe,20%,ALL,0.877306586626262,68.8999547306474,scmap
muraro,segerstolpe,20%,ALL,0.844048772008245,71.5708465368945,scmap
muraro,segerstolpe,20%,ALL,0.85585292528214,67.2702580353101,scmap
muraro,segerstolpe,20%,ALL,0.868694145307993,68.7188773200543,scmap
muraro,segerstolpe,20%,ALL,0.840051262970772,73.6079674060661,scmap
muraro,segerstolpe,20%,ALL,0.886111918437499,63.739248528746,scmap
muraro,segerstolpe,20%,ALL,0.890706060598571,66.6364870982345,scmap
muraro,segerstolpe,20%,ALL,0.833508589942165,70.9370755998189,scmap
muraro,segerstolpe,20%,ALL,0.857287438609948,64.3277501131734,scmap
muraro,segerstolpe,20%,ALL,0.86000077012165,68.9904934359439,scmap
muraro,segerstolpe,20%,ALL,0.860049160220776,66.727025803531,scmap
muraro,segerstolpe,20%,ALL,0.84847618282593,70.7559981892259,scmap
muraro,segerstolpe,20%,ALL,0.877508271466955,66.4554096876415,scmap
muraro,segerstolpe,20%,ALL,0.836655714712414,70.0316885468538,scmap
muraro,segerstolpe,20%,ALL,0.863191847392886,68.5830692621095,scmap
muraro,segerstolpe,20%,ALL,0.820515672425955,68.8094160253508,scmap
muraro,segerstolpe,20%,ALL,0.848880209734833,67.0439112720688,scmap
muraro,segerstolpe,20%,ALL,0.836487136378631,72.6120416478044,scmap
muraro,segerstolpe,20%,ALL,0.830947727555159,68.492530556813,scmap
muraro,segerstolpe,20%,ALL,0.866560202569525,66.4101403349932,scmap
muraro,segerstolpe,20%,ALL,0.726699747398367,81.9827976459937,scmap
muraro,segerstolpe,20%,ALL,0.796745462388667,71.480307831598,scmap
muraro,segerstolpe,20%,ALL,0.825750242013553,71.2086917157085,scmap
muraro,segerstolpe,20%,ALL,0.806621771084889,69.9411498415573,scmap
muraro,segerstolpe,20%,ALL,0.841935242466573,69.8053417836125,scmap
muraro,segerstolpe,20%,ALL,0.821979022629928,71.8877320054323,scmap
muraro,segerstolpe,20%,ALL,0.846041412911084,71.3897691263015,scmap
muraro,segerstolpe,20%,ALL,0.855616360692442,66.4101403349932,scmap
muraro,segerstolpe,20%,ALL,0.874920011175903,65.0973291081938,scmap
muraro,segerstolpe,20%,ALL,0.865109894606874,65.6405613399728,scmap
muraro,segerstolpe,20%,ALL,0.826108954124,76.9126301493889,scmap
muraro,segerstolpe,20%,ALL,0.855096775019688,70.3033046627433,scmap
muraro,segerstolpe,20%,ALL,0.797385762359739,68.31145314622,scmap
muraro,segerstolpe,20%,ALL,0.77599115117055,65.8669081032141,scmap
muraro,segerstolpe,20%,ALL,0.817786356303296,73.9701222272522,scmap
muraro,segerstolpe,20%,ALL,0.869478106946254,69.6242643730195,scmap
muraro,segerstolpe,20%,ALL,0.848273358548895,72.0688094160253,scmap
muraro,segerstolpe,20%,ALL,0.861971459098334,69.6242643730195,scmap
muraro,segerstolpe,20%,ALL,0.830928121966617,72.1593481213219,scmap
muraro,segerstolpe,20%,ALL,0.876977075792476,68.2661837935718,scmap
muraro,segerstolpe,20%,ALL,0.852089092534906,69.0357627885921,scmap
muraro,segerstolpe,20%,ALL,0.868882698287277,67.6324128564961,scmap
muraro,segerstolpe,20%,ALL,0.843322468145244,75.6903576278859,scmap
muraro,segerstolpe,20%,ALL,0.864461271863107,68.5377999094613,scmap
muraro,segerstolpe,20%,ALL,0.812816957587039,70.2580353100951,scmap
muraro,segerstolpe,20%,ALL,0.873689047740618,70.5296514259846,scmap
muraro,segerstolpe,20%,ALL,0.81085094759197,67.2702580353101,scmap
muraro,segerstolpe,20%,ALL,0.859157338350004,67.3155273879584,scmap
muraro,segerstolpe,20%,ALL,0.83785434655857,73.5626980534178,scmap
muraro,segerstolpe,20%,ALL,0.890529113248569,67.0891806247171,scmap
muraro,segerstolpe,20%,ALL,0.835729421437445,67.0439112720688,scmap
muraro,segerstolpe,20%,ALL,0.829613948903576,70.1674966047986,scmap
muraro,segerstolpe,20%,ALL,0.834234521989764,72.2046174739701,scmap
muraro,segerstolpe,20%,ALL,0.849112764739554,70.1674966047986,scmap
muraro,segerstolpe,20%,ALL,0.835508851805931,74.5586238116795,scmap
muraro,segerstolpe,20%,ALL,0.85413652647947,71.8424626527841,scmap
muraro,segerstolpe,20%,ALL,0.87002305742615,68.3567224988683,scmap
muraro,segerstolpe,20%,ALL,0.837627487246905,70.8012675418742,scmap
muraro,segerstolpe,20%,ALL,0.814507979035935,72.1593481213219,scmap
muraro,segerstolpe,20%,ALL,0.802377867790551,70.9823449524672,scmap
muraro,segerstolpe,20%,ALL,0.86709387414335,67.9945676776822,scmap
muraro,segerstolpe,20%,ALL,0.825277808601366,77.3200543232232,scmap
muraro,segerstolpe,20%,ALL,0.875997264645544,67.6776822091444,scmap
muraro,segerstolpe,20%,ALL,0.82304498740897,72.8383884110457,scmap
muraro,segerstolpe,20%,ALL,0.861837964956444,68.0851063829787,scmap
muraro,segerstolpe,20%,ALL,0.753982362391636,67.4513354459031,scmap
muraro,segerstolpe,20%,ALL,0.879484129468478,65.142598460842,scmap
muraro,segerstolpe,20%,ALL,0.846142090998212,68.6283386147578,scmap
muraro,segerstolpe,20%,ALL,0.877217811892119,64.2824807605251,scmap
muraro,segerstolpe,20%,ALL,0.873380662389683,70.1674966047986,scmap
muraro,segerstolpe,20%,ALL,0.883692941663538,65.8216387505659,scmap
muraro,segerstolpe,20%,ALL,0.839105551949968,72.5667722951562,scmap
muraro,segerstolpe,20%,ALL,0.85778499587588,69.4884563150747,scmap
muraro,segerstolpe,20%,ALL,0.8643009442583,69.4431869624264,scmap
muraro,segerstolpe,20%,ALL,0.828646581880305,71.7971933001358,scmap
muraro,segerstolpe,20%,ALL,0.847370172612333,68.7188773200543,scmap
muraro,segerstolpe,20%,ALL,0.811440694310511,67.1344499773653,scmap
muraro,segerstolpe,20%,ALL,0.806644725825358,71.9782707107288,scmap
muraro,segerstolpe,20%,ALL,0.839627432919848,68.7641466727026,scmap
muraro,segerstolpe,20%,ALL,0.881578019877975,67.4060660932549,scmap
muraro,segerstolpe,20%,ALL,0.846412337331435,68.5830692621095,scmap
muraro,segerstolpe,20%,ALL,0.859458916829795,68.31145314622,scmap
muraro,segerstolpe,20%,ALL,0.867323855039027,66.5912177455862,scmap
muraro,segerstolpe,20%,ALL,0.825021404109589,75.3282028066999,scmap
muraro,segerstolpe,20%,ALL,0.87777426049031,68.5377999094613,scmap
muraro,segerstolpe,20%,ALL,0.728974021928258,81.4395654142146,scmap
muraro,segerstolpe,20%,ALL,0.857607698298263,71.661385242191,scmap
muraro,segerstolpe,20%,ALL,0.859302559967748,68.4019918515165,scmap
muraro,segerstolpe,20%,ALL,0.829844842605891,70.2580353100951,scmap
muraro,segerstolpe,20%,1000-2000,0.90549623794974,23.4947940244455,scmap
muraro,segerstolpe,20%,1000-2000,0.911548925640762,24.2191036668176,scmap
muraro,segerstolpe,20%,1000-2000,0.918270483140737,23.766410140335,scmap
muraro,segerstolpe,20%,1000-2000,0.918965676724113,23.0873698506111,scmap
muraro,segerstolpe,20%,1000-2000,0.912648105588675,24.1285649615211,scmap
muraro,segerstolpe,20%,1000-2000,0.927862345997249,20.416478044364,scmap
muraro,segerstolpe,20%,1000-2000,0.874496222482887,20.4617473970122,scmap
muraro,segerstolpe,20%,1000-2000,0.92633007477989,23.6306020823902,scmap
muraro,segerstolpe,20%,1000-2000,0.913845012201705,23.9927569035763,scmap
muraro,segerstolpe,20%,1000-2000,0.868979499322258,20.2354006337709,scmap
muraro,segerstolpe,20%,1000-2000,0.909644499630947,23.9927569035763,scmap
muraro,segerstolpe,20%,1000-2000,0.908955033714913,23.5400633770937,scmap
muraro,segerstolpe,20%,1000-2000,0.902039373535465,22.8610230873699,scmap
muraro,segerstolpe,20%,1000-2000,0.892448182314103,23.4495246717972,scmap
muraro,segerstolpe,20%,1000-2000,0.912810920515573,25.3055681303757,scmap
muraro,segerstolpe,20%,1000-2000,0.91695467572224,26.1656858306926,scmap
muraro,segerstolpe,20%,1000-2000,0.909358464952053,22.9515617926664,scmap
muraro,segerstolpe,20%,1000-2000,0.867381641420785,21.2313263920326,scmap
muraro,segerstolpe,20%,1000-2000,0.919175904553705,22.8610230873699,scmap
muraro,segerstolpe,20%,1000-2000,0.910516648258175,24.6265278406519,scmap
muraro,segerstolpe,20%,1000-2000,0.907837299899631,23.3589859665007,scmap
muraro,segerstolpe,20%,1000-2000,0.922458057264077,21.3671344499774,scmap
muraro,segerstolpe,20%,1000-2000,0.92236620572555,23.2231779085559,scmap
muraro,segerstolpe,20%,1000-2000,0.883216215057851,22.2725215029425,scmap
muraro,segerstolpe,20%,1000-2000,0.903706848401105,22.8157537347216,scmap
muraro,segerstolpe,20%,1000-2000,0.898333459456953,23.3589859665007,scmap
muraro,segerstolpe,20%,1000-2000,0.930140037054406,19.1489361702128,scmap
muraro,segerstolpe,20%,1000-2000,0.908809474548809,22.8610230873699,scmap
muraro,segerstolpe,20%,1000-2000,0.897332898597978,22.0461747397012,scmap
muraro,segerstolpe,20%,1000-2000,0.916642650143298,24.5812584880036,scmap
muraro,segerstolpe,20%,1000-2000,0.917718503633558,24.5812584880036,scmap
muraro,segerstolpe,20%,1000-2000,0.928595685432178,22.9968311453146,scmap
muraro,segerstolpe,20%,1000-2000,0.902496701380942,24.1738343141693,scmap
muraro,segerstolpe,20%,1000-2000,0.919223876798137,24.3549117247623,scmap
muraro,segerstolpe,20%,1000-2000,0.885934409845796,22.4988682661838,scmap
muraro,segerstolpe,20%,1000-2000,0.907349953859244,23.9927569035763,scmap
muraro,segerstolpe,20%,1000-2000,0.916562300689975,23.3589859665007,scmap
muraro,segerstolpe,20%,1000-2000,0.91230476451729,22.8157537347216,scmap
muraro,segerstolpe,20%,1000-2000,0.899986971154898,22.5894069714803,scmap
muraro,segerstolpe,20%,1000-2000,0.901728745051795,24.0380262562245,scmap
muraro,segerstolpe,20%,1000-2000,0.902654473047677,23.9022181982798,scmap
muraro,segerstolpe,20%,1000-2000,0.898757971102615,22.8157537347216,scmap
muraro,segerstolpe,20%,1000-2000,0.920071771442531,24.2643730194658,scmap
