downsample_rate,jaccard_index,n_features,dataset,Method
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.869158878504673,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.941747572815534,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.923076923076923,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.98019801980198,100,baron-human,scmap
40%,0.923076923076923,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.98019801980198,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.98019801980198,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.98019801980198,100,baron-human,scmap
40%,1,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.941747572815534,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.941747572815534,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.98019801980198,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.98019801980198,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.96078431372549,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,1,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.923076923076923,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,1,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.923076923076923,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,1,100,baron-human,scmap
20%,0.941747572815534,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.941747572815534,100,baron-human,scmap
60%,0.98019801980198,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.96078431372549,100,baron-human,scmap
40%,0.98019801980198,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.904761904761905,100,baron-human,scmap
40%,0.96078431372549,100,baron-human,scmap
60%,0.96078431372549,100,baron-human,scmap
80%,0.98019801980198,100,baron-human,scmap
20%,0.84331797235023,1000,baron-human,scmap
40%,0.913875598086124,1000,baron-human,scmap
60%,0.919385796545106,1000,baron-human,scmap
80%,0.966568338249754,1000,baron-human,scmap
20%,0.846722068328717,1000,baron-human,scmap
40%,0.904761904761905,1000,baron-human,scmap
60%,0.939864209505335,1000,baron-human,scmap
80%,0.956947162426614,1000,baron-human,scmap
