reference,projection,downsample_frac,n_features,kappa,uns_rate,Method
muraro,segerstolpe,10%,0-100,0.843001003024928,7.24309642372114,scmap-cluster
muraro,segerstolpe,10%,0-100,0.860819219050448,9.41602535083748,scmap-cluster
muraro,segerstolpe,10%,0-100,0.90172414098838,4.1195110909914,scmap-cluster
muraro,segerstolpe,10%,0-100,0.847942537711412,8.42009959257583,scmap-cluster
muraro,segerstolpe,10%,0-100,0.822518538583518,6.42824807605251,scmap-cluster
muraro,segerstolpe,10%,0-100,0.849675652013477,6.24717066545948,scmap-cluster
muraro,segerstolpe,10%,0-100,0.816088326693053,5.02489814395654,scmap-cluster
muraro,segerstolpe,10%,0-100,0.83318518138733,6.11136260751471,scmap-cluster
muraro,segerstolpe,10%,0-100,0.838862052520134,7.96740606609325,scmap-cluster
muraro,segerstolpe,10%,0-100,0.903154955868365,2.94250792213671,scmap-cluster
muraro,segerstolpe,10%,0-100,0.812536991382311,5.3870529651426,scmap-cluster
muraro,segerstolpe,10%,0-100,0.846603301556461,7.96740606609325,scmap-cluster
muraro,segerstolpe,10%,0-100,0.911932647321071,2.8519692168402,scmap-cluster
muraro,segerstolpe,10%,0-100,0.865795105499912,9.77818017202354,scmap-cluster
muraro,segerstolpe,10%,0-100,0.8248926776357,5.65866908103214,scmap-cluster
muraro,segerstolpe,10%,0-100,0.875674802670689,9.00860117700317,scmap-cluster
muraro,segerstolpe,10%,0-100,0.90069546940546,3.4857401539158,scmap-cluster
muraro,segerstolpe,10%,0-100,0.887134949417828,10.7741059302852,scmap-cluster
muraro,segerstolpe,10%,0-100,0.912037670613594,3.07831598008148,scmap-cluster
muraro,segerstolpe,10%,0-100,0.907477227780674,1.99185151652331,scmap-cluster
muraro,segerstolpe,10%,0-100,0.825771880019533,6.38297872340426,scmap-cluster
muraro,segerstolpe,10%,0-100,0.844149384978444,7.33363512901766,scmap-cluster
muraro,segerstolpe,10%,0-100,0.824245022454301,5.65866908103214,scmap-cluster
muraro,segerstolpe,10%,0-100,0.868803742827702,9.05387052965142,scmap-cluster
muraro,segerstolpe,10%,0-100,0.827446757970241,6.69986419194205,scmap-cluster
